,family,age,speaker,perplexity,entropy,corpus
0,Providence_Lily,18.6,Adult,7.417666298019914,2.0038644926173887,Providence
1,Providence_Lily,18.6,Target_Child,18.477924743178765,2.916576762460671,Providence
2,Providence_Lily,19.633333333333333,Adult,7.35592027973927,1.995505469236268,Providence
3,Providence_Lily,19.633333333333333,Target_Child,10.595366084938219,2.360416743736663,Providence
4,Providence_Lily,20.1,Adult,7.007145296787322,1.9469303851213653,Providence
5,Providence_Lily,20.1,Target_Child,10.3921555200973,2.341051244623649,Providence
6,Providence_Lily,20.466666666666665,Adult,7.005770725418772,1.9467341987785969,Providence
7,Providence_Lily,20.466666666666665,Target_Child,11.637484552901633,2.454231315246913,Providence
8,Providence_Lily,20.9,Adult,6.7517268388714395,1.9097983001469947,Providence
9,Providence_Lily,20.9,Target_Child,16.585551692853407,2.808531936413348,Providence
10,Providence_Lily,21.4,Adult,6.699657000510348,1.9020563311327858,Providence
11,Providence_Lily,21.4,Target_Child,15.375914574219925,2.732802296425558,Providence
12,Providence_Lily,21.833333333333332,Adult,6.443078383315214,1.863006435737512,Providence
13,Providence_Lily,21.833333333333332,Target_Child,10.09169420361094,2.311712729448837,Providence
14,Providence_Lily,22.3,Adult,6.722007553103606,1.9053868529416171,Providence
15,Providence_Lily,22.3,Target_Child,13.975656600455304,2.6373170018698535,Providence
16,Providence_Lily,22.733333333333334,Adult,6.838569377447407,1.9225785544144836,Providence
17,Providence_Lily,22.733333333333334,Target_Child,12.047987561647059,2.488897638657192,Providence
18,Providence_Lily,23.233333333333334,Adult,8.076739252739756,2.088988233252391,Providence
19,Providence_Lily,23.233333333333334,Target_Child,9.988560010974442,2.3014404392252534,Providence
20,Providence_Lily,23.866666666666667,Adult,6.773097057321605,1.912958450164288,Providence
21,Providence_Lily,23.866666666666667,Target_Child,11.771429348982812,2.4656753539144756,Providence
22,Providence_Lily,24.133333333333333,Adult,6.096427986844254,1.8077030237355503,Providence
23,Providence_Lily,24.133333333333333,Target_Child,12.349231369822197,2.513593823875807,Providence
24,Providence_Lily,24.366666666666667,Adult,6.707581031714497,1.9032383840071745,Providence
25,Providence_Lily,24.366666666666667,Target_Child,9.893975232097425,2.291926009476876,Providence
26,Providence_Lily,24.766666666666666,Adult,7.811619008762929,2.0556122418255125,Providence
27,Providence_Lily,24.766666666666666,Target_Child,11.137063406747242,2.4102785917365215,Providence
28,Providence_Lily,25.033333333333335,Adult,6.576875059264723,1.883559717524016,Providence
29,Providence_Lily,25.033333333333335,Target_Child,10.051643126710438,2.3077361163362706,Providence
30,Providence_Lily,25.266666666666666,Adult,6.746515566235459,1.9090261591913806,Providence
31,Providence_Lily,25.266666666666666,Target_Child,9.518972665634653,2.253286929706547,Providence
32,Providence_Lily,25.5,Adult,6.987559759826361,1.944131390834823,Providence
33,Providence_Lily,25.5,Target_Child,9.227218692348803,2.2221576696647176,Providence
34,Providence_Lily,25.766666666666666,Adult,6.084784919662432,1.8057913798267098,Providence
35,Providence_Lily,25.766666666666666,Target_Child,9.91310170587264,2.2938572868460696,Providence
36,Providence_Lily,26.033333333333335,Adult,6.1897439069998885,1.8228937137889436,Providence
37,Providence_Lily,26.033333333333335,Target_Child,10.187882783482275,2.321199051699853,Providence
38,Providence_Lily,26.5,Adult,6.553094829062159,1.8799374310440873,Providence
39,Providence_Lily,26.5,Target_Child,9.440005828947411,2.2449565976304613,Providence
40,Providence_Lily,26.9,Adult,6.596275084333773,1.886505108547834,Providence
41,Providence_Lily,26.9,Target_Child,8.048184386456139,2.0854465239368998,Providence
42,Providence_Lily,27.166666666666668,Adult,6.624552435088842,1.8907828126224893,Providence
43,Providence_Lily,27.166666666666668,Target_Child,10.280676049707258,2.3302660214548894,Providence
44,Providence_Lily,27.566666666666666,Adult,6.8024094651477505,1.917276882530873,Providence
45,Providence_Lily,27.566666666666666,Target_Child,7.682865622276505,2.0389926054652636,Providence
46,Providence_Lily,28.066666666666666,Adult,6.312705139646441,1.8425642914431835,Providence
47,Providence_Lily,28.066666666666666,Target_Child,8.103157445852492,2.0922537938528794,Providence
48,Providence_Lily,28.3,Adult,7.16652073323299,1.9694202834534837,Providence
49,Providence_Lily,28.3,Target_Child,8.146871848713397,2.0976340313304056,Providence
50,Providence_Lily,28.533333333333335,Adult,6.335263162519398,1.8461313539551902,Providence
51,Providence_Lily,28.533333333333335,Target_Child,7.717566544996519,2.0434990999675007,Providence
52,Providence_Lily,28.933333333333334,Adult,6.4656541164683405,1.86650418521368,Providence
53,Providence_Lily,28.933333333333334,Target_Child,8.19479108852467,2.103498719317426,Providence
54,Providence_Lily,29.2,Adult,5.411885078201181,1.6885974754565467,Providence
55,Providence_Lily,29.2,Target_Child,6.750383286067929,1.9095992863935127,Providence
56,Providence_Lily,29.6,Adult,6.310070814156255,1.8421468990188747,Providence
57,Providence_Lily,29.6,Target_Child,7.511246390469264,2.0164014161159454,Providence
58,Providence_Lily,29.866666666666667,Adult,6.5025693249873155,1.8721973795660092,Providence
59,Providence_Lily,29.866666666666667,Target_Child,8.912483697022564,2.1874529565126615,Providence
60,Providence_Lily,30.133333333333333,Adult,6.98405763956318,1.943630071590756,Providence
61,Providence_Lily,30.133333333333333,Target_Child,8.508531339579825,2.141069347148636,Providence
62,Providence_Lily,30.4,Adult,6.491294556042805,1.8704619801686717,Providence
63,Providence_Lily,30.4,Target_Child,8.358130919558516,2.123234827884681,Providence
64,Providence_Lily,30.6,Adult,7.122458528195185,1.963252964725756,Providence
65,Providence_Lily,30.6,Target_Child,8.83949242660913,2.1792294571966897,Providence
66,Providence_Lily,30.766666666666666,Adult,6.547184602004532,1.8790351254879787,Providence
67,Providence_Lily,30.766666666666666,Target_Child,7.931196865671721,2.0708039530944284,Providence
68,Providence_Lily,31.0,Adult,6.771375954170229,1.9127043091343374,Providence
69,Providence_Lily,31.0,Target_Child,8.489011692709083,2.138772585150227,Providence
70,Providence_Lily,31.033333333333335,Adult,6.611166150918594,1.88876006052974,Providence
