,family,age,speaker,perplexity,entropy,corpus
0,Providence_Alex,16.9,Adult,6.420713668811419,1.8595292748899452,Providence
1,Providence_Alex,16.9,Target_Child,127.34780245682488,4.846921945342736,Providence
2,Providence_Alex,17.4,Adult,7.350174698707619,1.994724081473927,Providence
3,Providence_Alex,17.4,Target_Child,344.3787790271155,5.84174215342843,Providence
4,Providence_Alex,17.866666666666667,Adult,7.6158147600755735,2.0302269747241994,Providence
5,Providence_Alex,17.866666666666667,Target_Child,245.5427528193957,5.50347107797679,Providence
6,Providence_Alex,18.466666666666665,Adult,5.922870924262426,1.7788212847667135,Providence
7,Providence_Alex,18.466666666666665,Target_Child,221.4328577700027,5.4001194183416015,Providence
8,Providence_Alex,19.233333333333334,Adult,7.273381475804588,1.9842213107531204,Providence
9,Providence_Alex,19.233333333333334,Target_Child,318.6235420021841,5.764010286780542,Providence
10,Providence_Alex,19.866666666666667,Adult,6.561452739759675,1.8812120326702866,Providence
11,Providence_Alex,19.866666666666667,Target_Child,198.4373749669982,5.290473558999244,Providence
12,Providence_Alex,20.366666666666667,Adult,6.573246521629453,1.8830078537705077,Providence
13,Providence_Alex,20.366666666666667,Target_Child,238.60465704081966,5.474808027666212,Providence
14,Providence_Alex,20.833333333333332,Adult,6.822358052300902,1.9202051675650633,Providence
15,Providence_Alex,20.833333333333332,Target_Child,252.46901373078273,5.531288523287067,Providence
16,Providence_Alex,21.266666666666666,Adult,7.2261538492552395,1.9777069235665024,Providence
17,Providence_Alex,21.266666666666666,Target_Child,292.1664070018471,5.677323526936985,Providence
18,Providence_Alex,21.733333333333334,Adult,7.006132473539695,1.9467858331805572,Providence
19,Providence_Alex,21.733333333333334,Target_Child,277.62806816307824,5.626282333618912,Providence
20,Providence_Alex,22.2,Adult,7.606425311333374,2.0289933258145827,Providence
21,Providence_Alex,22.2,Target_Child,284.55649595550057,5.650931813660463,Providence
22,Providence_Alex,22.8,Adult,7.873600973851018,2.063515514815179,Providence
23,Providence_Alex,22.8,Target_Child,222.86030109538854,5.406545122669725,Providence
24,Providence_Alex,23.1,Adult,7.817565854795402,2.0563732343368146,Providence
25,Providence_Alex,23.1,Target_Child,294.6389671283097,5.685750766592753,Providence
26,Providence_Alex,23.566666666666666,Adult,8.234923832418323,2.1083841143358666,Providence
27,Providence_Alex,23.566666666666666,Target_Child,250.02442950117847,5.5215586310928675,Providence
28,Providence_Alex,23.9,Adult,6.624926513578057,1.8908392795206614,Providence
29,Providence_Alex,23.9,Target_Child,291.86719950887107,5.676298902614625,Providence
30,Providence_Alex,24.4,Adult,7.028737782914365,1.9500071424636836,Providence
31,Providence_Alex,24.4,Target_Child,212.8144092042762,5.360420467601217,Providence
32,Providence_Alex,25.066666666666666,Adult,6.806981019083356,1.9179487060211091,Providence
33,Providence_Alex,25.066666666666666,Target_Child,310.5818623994063,5.738447513643788,Providence
34,Providence_Alex,25.566666666666666,Adult,6.042912998342803,1.798886180178778,Providence
35,Providence_Alex,25.566666666666666,Target_Child,267.97751819637995,5.5909030896651775,Providence
36,Providence_Alex,26.0,Adult,6.597898823127705,1.886751238212869,Providence
37,Providence_Alex,26.0,Target_Child,145.25868788842692,4.978516207288726,Providence
38,Providence_Alex,26.566666666666666,Adult,6.345143624870402,1.8476897368235434,Providence
39,Providence_Alex,26.566666666666666,Target_Child,218.92570045578665,5.388732404927147,Providence
40,Providence_Alex,27.0,Adult,6.584610630750228,1.8847352037203962,Providence
41,Providence_Alex,27.0,Target_Child,200.36850485703465,5.300158195467521,Providence
42,Providence_Alex,27.466666666666665,Adult,6.472000495697437,1.8674852563472626,Providence
43,Providence_Alex,27.466666666666665,Target_Child,266.86000508415935,5.58672419536606,Providence
44,Providence_Alex,27.866666666666667,Adult,6.513236246671574,1.873836452002001,Providence
45,Providence_Alex,27.866666666666667,Target_Child,212.86327941606993,5.3606500789400995,Providence
46,Providence_Alex,28.366666666666667,Adult,6.584781956805953,1.8847612225446657,Providence
47,Providence_Alex,28.366666666666667,Target_Child,197.62807073283423,5.286386833588979,Providence
48,Providence_Alex,28.833333333333332,Adult,6.357943934030275,1.8497050442726741,Providence
49,Providence_Alex,28.833333333333332,Target_Child,250.87712894861346,5.524963293173624,Providence
50,Providence_Alex,29.3,Adult,6.558578223963323,1.8807738453138247,Providence
51,Providence_Alex,29.3,Target_Child,224.35697940480586,5.413238441386759,Providence
52,Providence_Alex,29.766666666666666,Adult,6.7732216530563765,1.9129768456763734,Providence
53,Providence_Alex,29.766666666666666,Target_Child,246.04385385949013,5.505509787766066,Providence
54,Providence_Alex,30.2,Adult,6.783066894717703,1.9144293440290823,Providence
55,Providence_Alex,30.2,Target_Child,177.51612829821542,5.179061468439537,Providence
56,Providence_Alex,30.666666666666668,Adult,7.369657659887648,1.997371254632245,Providence
57,Providence_Alex,30.666666666666668,Target_Child,207.81886410985896,5.336666854669303,Providence
58,Providence_Alex,31.166666666666668,Adult,6.2543267408846885,1.8332735027756049,Providence
59,Providence_Alex,31.166666666666668,Target_Child,254.5412168675021,5.539462775205817,Providence
60,Providence_Alex,31.8,Adult,7.128832519437757,1.9641474790046776,Providence
61,Providence_Alex,31.8,Target_Child,281.82727165967606,5.641294371430979,Providence
62,Providence_Alex,32.333333333333336,Adult,6.823317311816086,1.9203457629538832,Providence
63,Providence_Alex,32.333333333333336,Target_Child,201.67944252569293,5.306679518723191,Providence
64,Providence_Alex,32.53333333333333,Adult,6.734243992989318,1.9072055530776304,Providence
65,Providence_Alex,32.53333333333333,Target_Child,284.0189292930346,5.649040888380293,Providence
