,family,age,speaker,perplexity,entropy,corpus
0,Providence_Lily,13.066666666666666,Target_Child,114.29653022652187,4.738796213616647,Providence
1,Providence_Lily,13.066666666666666,Adult,13.990905253753434,2.6384074937857873,Providence
2,Providence_Lily,13.566666666666666,Target_Child,144.29207506993535,4.9718395444514085,Providence
3,Providence_Lily,13.566666666666666,Adult,13.886230562263934,2.63089774212986,Providence
4,Providence_Lily,14.066666666666666,Target_Child,234.94186788340906,5.4593381128340805,Providence
5,Providence_Lily,14.066666666666666,Adult,14.968328103452022,2.7059365090583736,Providence
6,Providence_Lily,14.433333333333334,Target_Child,129.02778455938218,4.860027765351087,Providence
7,Providence_Lily,14.433333333333334,Adult,12.852213383975625,2.5535160442884877,Providence
8,Providence_Lily,14.933333333333334,Target_Child,258.1805108904864,5.5536589948917205,Providence
9,Providence_Lily,14.933333333333334,Adult,15.19390589233406,2.7208944193231397,Providence
10,Providence_Lily,15.433333333333334,Target_Child,551.2390730701616,6.31216860446965,Providence
11,Providence_Lily,15.433333333333334,Adult,13.266168471496984,2.5852170705174484,Providence
12,Providence_Lily,15.766666666666667,Target_Child,294.21805816501546,5.684321186858118,Providence
13,Providence_Lily,15.766666666666667,Adult,12.884139018110453,2.5559970213913723,Providence
14,Providence_Lily,15.866666666666667,Target_Child,577.888291953983,6.359380583478397,Providence
15,Providence_Lily,15.866666666666667,Adult,15.734679711142796,2.7558671751228516,Providence
16,Providence_Lily,16.766666666666666,Target_Child,310.6516016486257,5.738672032294338,Providence
17,Providence_Lily,16.766666666666666,Adult,14.194303347389207,2.6528407113968417,Providence
18,Providence_Lily,17.266666666666666,Target_Child,261.41844532621604,5.566122362305126,Providence
19,Providence_Lily,17.266666666666666,Adult,14.665259602798187,2.685481404475132,Providence
20,Providence_Lily,17.7,Target_Child,170.61752158294303,5.139424335428164,Providence
21,Providence_Lily,17.7,Adult,15.690990164373545,2.7530866727443817,Providence
22,Providence_Lily,18.366666666666667,Target_Child,265.25416029843643,5.580688461813832,Providence
23,Providence_Lily,18.366666666666667,Adult,15.001449618201933,2.7081468376462112,Providence
24,Providence_Lily,18.6,Target_Child,157.25141820021247,5.0578459143011685,Providence
25,Providence_Lily,18.6,Adult,14.267103002943932,2.657956397770451,Providence
